0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-592.5197,55.269863,-19.240614,14.985034,-4.3037934,-0.7829676,-15.683035,-4.746463,-22.302803,-5.3476143,-3.268915,-6.1823516,-4.994535,-5.5267506,-5.180778,3.9239156,-13.427353,-5.194612,-4.176971,-4.5786743,-8.538957,-1.7509604,-7.6845956,-7.8174977,-1.8912879,-6.1228647,-6.0876265,-2.0446324,-6.3000884,-4.0662956,-5.8660254,-6.5849314,-2.4344625,-3.7436516,-0.2998332,1.2679621,5.3271475,3.9826357,8.654726,11.515517,neutral
-571.7712,53.82124,-19.770304,14.672212,-3.2212996,-2.2193792,-15.6607,-4.115021,-21.762812,-0.92314947,-3.4888499,-4.256855,-6.386453,-5.031294,-4.577743,1.2036935,-12.780074,-5.0963216,-3.6102746,-5.673286,-10.738586,-1.755808,-10.088989,-6.863227,-2.396363,-5.9498086,-4.8840632,-1.4358757,-6.0440927,-2.564606,-5.151127,-6.433335,-2.4615433,-4.143042,0.55383,1.9986894,5.0203714,4.2246065,9.785756,11.845788,neutral
-579.2167,54.23281,-15.242693,17.25066,-4.7512283,0.021344842,-13.25175,-5.477705,-20.139534,-4.198607,-4.0210953,-4.8582687,-5.2133737,-5.63336,-4.66739,2.8600736,-11.925024,-4.623821,-3.5471036,-6.601063,-9.89598,-2.4595141,-6.914575,-6.965358,-2.849526,-4.567104,-5.066485,-2.9137154,-6.8506403,-3.2474298,-5.4213867,-5.051621,-1.9639964,-3.5426397,-0.74538475,1.2215824,3.4395657,5.6024175,9.031712,9.748875,neutral
-581.09064,53.24972,-19.030127,17.035284,-5.6487455,1.87509,-16.216503,-5.1087203,-21.046432,-2.9532223,-2.1167214,-5.2701626,-5.4551973,-5.653674,-4.1667657,1.7007022,-13.58873,-3.8290722,-4.1419406,-7.0883627,-9.626239,-1.1544966,-8.21392,-6.1719294,-3.0763857,-6.6072683,-4.8457394,-2.7533777,-6.391461,-2.4980476,-6.595559,-5.2618175,-2.0724518,-4.843049,0.8807791,1.2970343,4.160462,5.900162,9.407315,10.992938,neutral
-592.52057,61.175182,-16.242025,16.972326,-1.7409685,-0.38939834,-15.755614,-1.1119393,-19.680891,-3.4880378,-0.86910254,-5.2699423,-9.059155,-4.454226,-4.3031955,1.6119796,-8.845841,-5.9283414,-4.601464,-6.770892,-10.885338,-1.9901687,-7.7832346,-5.187756,-2.7245321,-4.99744,-6.8461056,-1.934838,-5.556306,-0.83577347,2.7330685,2.623967,3.312066,-4.676119,-4.7669716,-4.0451636,1.9918331,5.5202,10.280448,11.302134,calm
-581.7928,56.447,-17.693556,15.839706,-1.7184324,-1.0227627,-14.631955,-3.5393763,-23.259861,-2.2895164,-2.9101505,-6.2810135,-8.588992,-6.637941,-5.674869,2.2865252,-12.535496,-5.250957,-3.9747562,-9.256555,-10.919588,-2.9850242,-10.500622,-5.457731,-2.2398338,-7.1179776,-6.6909156,-2.9789743,-6.7965293,0.79232115,0.073473796,1.048499,2.3406744,-6.311334,-4.313064,-4.383526,3.5570233,6.044278,12.056604,11.609398,calm
-601.06415,62.35663,-5.6379256,15.782544,-5.522819,2.3066154,-12.609752,-0.28712952,-21.715025,-4.356428,-3.481797,-2.710475,-9.099488,-7.5215006,-3.5535054,-0.8340055,-12.553822,-3.8772635,-6.9545345,-7.794581,-9.329567,-3.125926,-9.732804,-7.100112,-4.486228,-5.585862,-6.2934294,-2.9879882,-4.8385763,-1.9049256,-0.019260209,-0.09545662,0.18128449,-6.175547,-5.1620855,-3.7088616,-0.29005966,3.1721783,7.298735,9.859857,calm
-568.3081,56.620483,-14.06562,14.446773,-5.653976,-0.62851906,-16.378359,-3.3267586,-22.465721,-4.2646422,-1.4711586,-5.3560233,-6.8565955,-7.142929,-4.6238923,-0.7579778,-10.93266,-3.7230196,-4.6452484,-6.8345056,-11.341072,-4.1499486,-8.764239,-6.4341183,-2.4675033,-5.935311,-7.5069823,-2.4603128,-5.5589166,-0.27626038,1.2442102,0.06309891,1.2508612,-5.247186,-5.2841907,-5.1247826,0.5680158,4.522575,9.619201,11.506958,calm
-620.1168,70.08001,-17.817976,16.52572,-1.8163195,-2.2112207,-15.371514,-5.5198283,-20.868044,2.4160488,-1.8480546,-5.1152754,-5.3292303,-9.077249,-5.426868,1.2227308,-12.484024,-5.1986732,-3.3416147,-6.837084,-10.722671,-2.307542,-12.008986,-4.715236,-3.062775,-5.9808283,-4.5667343,-4.2318096,-4.69242,-1.1757423,-0.8167681,1.0286576,0.3830192,-3.121249,-6.6510673,-4.3165927,1.13871,7.6322536,14.024581,15.444059,calm
-617.55524,61.951897,-17.68526,15.3239355,-2.8915267,0.00015217497,-18.1537,-6.2244945,-18.712038,-4.679207,-1.9316705,-6.550079,-7.88009,-7.8366556,-6.0686154,0.426153,-10.822273,-6.470117,-3.9438832,-5.5634556,-11.51118,-1.4291582,-10.253891,-5.9794745,-2.7812333,-6.277125,-6.2934456,-3.6419137,-4.5923243,-0.37925264,0.6358472,-0.12658754,0.3410374,-4.652478,-5.760437,-1.3760955,3.7237728,6.512833,10.847137,10.852177,calm
